Sample Lat Long
EST 40.533333 -7.85
CAT 41.85 2.533333
HDL 36.833333 -3.3
KEN 34.083333 -6.583333
TAZ 34.2 -4.25
ARR 38.833333 -9.05
SIN 38.75 -9.416667
MON 37.316667 -8.566667
ARG 36.9 7.25
GER 41.666667 -8.166667
BUC 40.366667 -8.35
TUN 36.95 8.85
PUG 40.566667 17.666667
LAZ 42.416667 11.95
SIC 37.116667 14.5
SAR 39.083333 8.85
COR 41.616667 8.966667
