	FIS (one pop)	FIS (17 pop)	FIS (K=3)
MSQ4	0.3442	0.1425	0.1863
MSQ13	0.5063	0.0185	0.191
QrOst1	0.1087	0.053	0.0896
QpD12	0.176	0.0816	0.1699
QpZag15	0.291	0.0783	0.1629
QpZag9	0.2389	0.2297	0.2353
QpZag46	0.2094	0.1433	0.1845
QpZag110	0.0958	0.066	0.0875
QpZag36	0.1918	0.1302	0.1669
QrZag20	0.2039	0.1677	0.1967
QrZag11	0.1042	0.0771	0.093
QrZag7	0.1115	0.0451	0.0724
QmAJ1	0.3452	0.2624	0.2707
